PID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,ID_4,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4
47327,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,521,Ngũ Hành Sơn,8711,Khuê Mỹ,,Phường,Ward
47328,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8712,Hòa Bắc,,Xã,Commune
47329,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8713,Hòa Châu,,Xã,Commune
47330,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8714,Hòa Khương,,Xã,Commune
47331,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8715,Hòa Liên,,Xã,Commune
47332,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8716,Hòa Nhơn,,Xã,Commune
47333,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8717,Hòa Ninh,,Xã,Commune
47334,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8718,Hòa Phong,,Xã,Commune
47335,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8719,Hòa Phú,,Xã,Commune
47336,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8720,Hòa Phước,,Xã,Commune
47337,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8721,Hòa Sơn,,Xã,Commune
47338,247,VNM,Vietnam,6,Nam Trung Bộ,50,Đà Nẵng,519,Hòa Vang,8722,Hòa Tiến,,Xã,Commune
